864995509596901376	id	zaqighifari24	"RT @MirrorPolitics: Mencap warns it's ""worrying"" Theresa May appeared to get mental health &amp; learning disability mixed up - #GE2017 live ht?"	nullHERE!!!	Thu May 18 00:06:14 +0000 2017	201	0	402	375	10834	b'Pacific Time (US & Canada)'	b'Thu Jan 08 12:00:54 +0000 2015'	Jakarta, Cibubur 7	"b""Pelajar ikhlas absurd tanpa tanda jasa. Brainler, Maxtuners, Youtubers, Vlogger, Gazellion. 01'12|103'15|39'18|"""	b'Zaqi ghifari'	"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'"		
864819784554344449	en	faltskog5450	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:27:58 +0000 2017	96	0	1779	1937	67437	b'London'	b'Sun Oct 11 14:42:07 +0000 2009'	Mintlaw	b'ABBA Obsessed Feminist. I Love Knitting, Trains & WWII History (Mainly Personalities Of The Third Reich And Their Partners)'	b'Helen Graham ?'	"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'"		
864819521340747777	en	Mickryder5	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:26:56 +0000 2017	96	0	4015	4954	86885		b'Sat Oct 02 14:57:15 +0000 2010'	stockton on tees	b'happy angler. Just chillin.'	b'Mick  Ryder'	"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'"		
864818308742361088	en	gazmurph	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:22:07 +0000 2017	96	0	2406	4464	43201		b'Sat Apr 09 03:27:19 +0000 2011'		b''	b'Daniel Blake'	"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'"		
864818245068607488	en	Timewalkproject	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:21:51 +0000 2017	96	0	4698	4479	100184		b'Fri Mar 15 22:02:15 +0000 2013'	Sheffield	"b""Time Walk Project Sheffield promoting Sheffield's Heritage, also supporting inclusive access. I am disabled and some views given are related to that."""	b'Time Walk Project'	"b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>'"		
864818135584710657	en	Mickster_1	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:21:25 +0000 2017	96	0	3246	3884	120038	b'London'	b'Wed Mar 02 23:49:59 +0000 2011'	Sheffield	b'50 yo Yorkshireman, anti tory,                  Sheffield United optimist.'	b'Mick'	"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'"		
864815335303544832	en	HelenDonohoe	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:10:18 +0000 2017	96	0	683	2016	2476	b'Amsterdam'	b'Fri Oct 01 11:42:07 +0000 2010'	- Red north London	"b""Debut novel BIRDY FLYNN out now - 'A complex, compelling creation. A terrific debut.' Sarah Waters. Rep by @SilviaMolteni85 @pfdagents"""	b'Helen Mai Donohoe'	"b'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>'"		
864815246762020865	en	marionpfallon	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 12:09:56 +0000 2017	96	0	2623	1863	209045	b'Casablanca'	b'Tue Mar 12 16:43:31 +0000 2013'	Norwich	b'Activist, Irish, passionate about injustice, love books,music, tea & chocolate'	b'Marion Fallon ????'	"b'<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>'"		
864805917346476032	en-gb	infamyreborn92	"RT @SocialistVoice: Mencap warns it's ""worrying"" Theresa May appeared to get mental health and learning disability mixed up #GE2017?https:/?"	nullHERE!!!	Wed May 17 11:32:52 +0000 2017	96	0	2049	3480	93183		b'Thu Aug 27 15:41:32 +0000 2015'	Rhondda Cynon Taf	b'?When authorities warn you of the sinfulness of sex, there is an important lesson to be learned. Do not have sex with the authorities.?'	b'Daniel Pitt'	"b'<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>'"		
864801361778573312	en	PatC63316307	RT @MirrorPolitics: Theresa May is being challenged on the huge rise of food banks #GE2017 live https://t.co/mh59sSORHC https://t.co/h6fel3?	nullHERE!!!	Wed May 17 11:14:46 +0000 2017	28	0	2328	2327	44516		b'Tue Sep 15 10:22:17 +0000 2015'	London	"b""Labour Party  MS 30 yrs- doing ok My friends+ family include 'foreigners' as described by T May I don't expect my govt to denigrate them\nLists-Blocked"""	b'Pat C'	"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'"	http://www.mirror.co.uk/news/politics/general-election-2017-live-labour-10421621 	
